route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
112,16,Hakaniemi-Korkeasaari,Hakaniemi-Korkeasaari,,4,http://www.suomensaaristokuljetus.fi/korkeasaari/,,
113,16,Kauppatori-Vallisaari-Isosaari,Kauppatori-Vallisaari-Isosaari,,4,https://visitisosaari.fi/laivaliikenne/,,
114,1,Itäinen saaristoreitti,Hakaniemi-Herttoniemi-Laajasalo-Vartiosaari-Kivisaari-Satamasaari-Iiluoto-Leikosaari-Vuosaari,,4,http://www.suomensaaristokuljetus.fi/itainen-saaristoreitti/,,
115,15,Suomenoja-Iso Vasikkasaari,Suomenoja-Iso Vasikkasaari,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
116,15,Haukilahti-Iso Vasikkasaari,Haukilahti-Iso Vasikkasaari,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
117,15,Nokkala-Iso Vasikkasaari,Nokkala-Iso Vasikkasaari,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
118,15,Otaniemen linja,Otaniemi-Haukilahti-Matinkylä-Iso Vasikkasaari-Suomenoja-Stora Herrö-Rövaren-Gåsgrundet,,4,https://www.espoo.fi/fi-FI/Kulttuuri_ja_liikunta/Ulkoilu/Saaristoliikenne,,
119,18,Kauppatori-Suomenlinna,Kauppatori-Suomenlinna (Tykistölahti ja Kuninkaanportti),,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/aikataulu-kauppatori-suomenlinna/,,
120,18,Punainen reitti,Kauppatori-Lonna-Vallisaari-Suomenlinna-Lonna,,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/saarihyppely-island-hopping/,,
121,18,Hakaniemi-Suomenlinna,Hakaniemi-Suomenlinna,,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/aikataulu-hakaniemi-suomenlinna/,,
122,18,Vihreä reitti,Kauppatori-Vallisaari-Suomenlinna-Lonna,,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/aikataulu-kauppatori-vallisaari/,,
123,18,Keltainen reitti,Hakaniemi-Suomenlinna-Vallisaari-Vasikkasaari,,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/aikataulu-hakaniemi-vallisaari/,,
124,18,Sininen reitti,Kauppatori-Lonna-Suomenlinna,,4,https://www.jt-line.fi/suomenlinna-vallisaari-lonna/aikataulu-kauppatori-lonna/,,
