trip_id,start_time,end_time,headway_secs
70002110,6:00:00,9:00:00,300
70002110,9:00:00,15:00:00,900
70002110,15:00:00,21:00:00,300
70003111,6:00:00,9:00:00,300
70003111,9:00:00,15:00:00,900
70003111,15:00:00,21:00:00,300
70003110,6:00:00,9:00:00,300
70003110,9:00:00,15:00:00,900
70003110,15:00:00,21:00:00,300
7004W111,6:00:00,9:00:00,300
7004W111,9:00:00,15:00:00,900
7004W111,15:00:00,21:00:00,300
7004W110,6:00:00,9:00:00,300
7004W110,9:00:00,15:00:00,900
7004W110,15:00:00,21:00:00,300
70008111,6:00:00,9:00:00,300
70008111,9:00:00,15:00:00,900
70008111,15:00:00,21:00:00,300
70008110,6:00:00,9:00:00,300
70008110,9:00:00,15:00:00,900
70008110,15:00:00,21:00:00,300
7024C111,6:00:00,9:00:00,300
7024C111,9:00:00,15:00:00,900
7024C111,15:00:00,21:00:00,300
7024C110,6:00:00,9:00:00,300
7024C110,9:00:00,15:00:00,900
7024C110,15:00:00,21:00:00,300
70032111,6:00:00,9:00:00,300
70032111,9:00:00,15:00:00,900
70032111,15:00:00,21:00:00,300
70032110,6:00:00,9:00:00,300
70032110,9:00:00,15:00:00,900
70032110,15:00:00,21:00:00,300
70033111,6:00:00,9:00:00,300
70033111,9:00:00,15:00:00,900
70033111,15:00:00,21:00:00,300
70033110,6:00:00,9:00:00,300
70033110,9:00:00,15:00:00,900
70033110,15:00:00,21:00:00,300
70033211,6:00:00,9:00:00,300
70033211,9:00:00,15:00:00,900
70033211,15:00:00,21:00:00,300
70033210,6:00:00,9:00:00,300
70033210,9:00:00,15:00:00,900
70033210,15:00:00,21:00:00,300
70034111,6:00:00,9:00:00,300
70034111,9:00:00,15:00:00,900
70034111,15:00:00,21:00:00,300
70034110,6:00:00,9:00:00,300
70034110,9:00:00,15:00:00,900
70034110,15:00:00,21:00:00,300
70102111,6:00:00,9:00:00,300
70102111,9:00:00,15:00:00,900
70102111,15:00:00,21:00:00,300
70102110,6:00:00,9:00:00,300
70102110,9:00:00,15:00:00,900
70102110,15:00:00,21:00:00,300
70103111,6:00:00,9:00:00,300
70103111,9:00:00,15:00:00,900
70103111,15:00:00,21:00:00,300
70103110,6:00:00,9:00:00,300
70103110,9:00:00,15:00:00,900
70103110,15:00:00,21:00:00,300
70111111,6:00:00,9:00:00,300
70111111,9:00:00,15:00:00,900
70111111,15:00:00,21:00:00,300
70111110,6:00:00,9:00:00,300
70111110,9:00:00,15:00:00,900
70111110,15:00:00,21:00:00,300
70126111,6:00:00,9:00:00,300
70126111,9:00:00,15:00:00,900
70126111,15:00:00,21:00:00,300
70126110,6:00:00,9:00:00,300
70126110,9:00:00,15:00:00,900
70126110,15:00:00,21:00:00,300
70129111,6:00:00,9:00:00,300
70129111,9:00:00,15:00:00,900
70129111,15:00:00,21:00:00,300
70129110,6:00:00,9:00:00,300
70129110,9:00:00,15:00:00,900
70129110,15:00:00,21:00:00,300
8011B111,6:00:00,9:00:00,300
8011B111,9:00:00,15:00:00,900
8011B111,15:00:00,21:00:00,300
8011B110,6:00:00,9:00:00,300
8011B110,9:00:00,15:00:00,900
8011B110,15:00:00,21:00:00,300
80023111,6:00:00,9:00:00,300
80023111,9:00:00,15:00:00,900
80023111,15:00:00,21:00:00,300
80023110,6:00:00,9:00:00,300
80023110,9:00:00,15:00:00,900
80023110,15:00:00,21:00:00,300
80030111,6:00:00,9:00:00,300
80030111,9:00:00,15:00:00,900
80030111,15:00:00,21:00:00,300
80030110,6:00:00,9:00:00,300
80030110,9:00:00,15:00:00,900
80030110,15:00:00,21:00:00,300
80048211,6:00:00,9:00:00,300
