runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
22600000,WKO00_MTWThFS_20200325_20200625,11585,226,1,t_1055540_b_25567_tn_0,14002291,t_1055562_b_25567_tn_0,14001490
22700000,WKO00_MTWThFS_20200325_20200625,11586,227,1,t_1055554_b_25567_tn_0,14001490,t_1055541_b_25567_tn_0,14002376
22800000,WKO00_MTWThFS_20200325_20200625,11587,228,1,t_1055544_b_25567_tn_0,14002044,t_1055548_b_25567_tn_0,14001490
22900000,WKO00_MTWThFS_20200325_20200625,11588,229,1,t_1055525_b_25567_tn_0,14002376,t_1055644_b_25567_tn_0,14001490
2300000,WKO00_MTWThF_20200626_20230429,U1-CC1,23,1,t_701338_b_25620_tn_0,14001491,t_701329_b_25620_tn_0,14001491
23000000,WKO00_MTWThFS_20200325_20200625,11589,230,1,t_1055538_b_25567_tn_0,14002291,t_1055613_b_25567_tn_0,14001490
23100000,WKO00_MTWThFS_20200325_20200625,U1-02,231,1,t_1055279_b_25567_tn_0,14002508,t_1055284_b_25567_tn_0,14003806
23200000,WKO00_MTWThFS_20200325_20200625,U1-06,232,1,t_1019639_b_25567_tn_0,14008102,t_1019649_b_25567_tn_0,14005057
23300000,WKO00_MTWThFS_20200325_20200625,U1-07,233,1,t_1055273_b_25567_tn_0,14003806,t_1055278_b_25567_tn_0,14002530
23400000,WKO00_MTWThFS_20200325_20200625,U2-01 2,234,1,t_1055378_b_25567_tn_0,14008105,t_1055367_b_25567_tn_0,14008105
23500000,WKO00_MTWThFS_20200325_20200625,U2-02 4,235,1,t_1055417_b_25567_tn_0,14002170,t_1055425_b_25567_tn_0,14002170
23600000,WKO00_MTWThFS_20200325_20200625,U2-03 4,236,1,t_1055412_b_25567_tn_0,14002170,t_1055318_b_25567_tn_0,14002530
23700000,WKO00_MTWThFS_20200325_20200625,U2-04 58,237,1,t_1055680_b_25567_tn_0,14001232,t_1055696_b_25567_tn_0,14001232
23800000,WKO00_MTWThFS_20200325_20200625,U2-05 5,238,1,t_1055474_b_25567_tn_0,14001487,t_1055663_b_25567_tn_0,14001232
23900000,WKO00_MTWThFS_20200325_20200625,U2-06 13,239,1,t_1055303_b_25567_tn_0,14008494,t_1055305_b_25567_tn_0,14008494
2400000,WKO00_MTWThF_20200626_20230429,U1-CC2,24,1,t_701285_b_25620_tn_0,14003793,t_701366_b_25620_tn_0,14003793
24000000,WKO00_MTWThFS_20200325_20200625,U2-07 16,240,1,t_1055319_b_25567_tn_0,14002170,t_1055439_b_25567_tn_0,14002170
24100000,WKO00_MTWThFS_20200325_20200625,U2-08 10,241,1,t_1055325_b_25567_tn_0,14002509,t_1055325_b_25567_tn_0,14002170
24200000,WKO00_MTWThFS_20200325_20200625,U2-09 11,242,1,t_1055266_b_25567_tn_0,14001212,t_1055239_b_25567_tn_0,14001212
24300000,WKO00_MTWThFS_20200325_20200625,U2-10 14,243,1,t_1018940_b_25567_tn_0,14001212,t_1018939_b_25567_tn_0,14001212
24400000,WKO00_MTWThFS_20200325_20200625,U2-11 58,244,1,t_1055683_b_25567_tn_0,14001232,t_1055688_b_25567_tn_0,14001232
24500000,WKO00_Su_20200325_20200625,11590,245,1,t_1055536_b_25567_tn_0,14002291,t_1055519_b_25567_tn_0,14001490
24600000,WKO00_Su_20200325_20200625,11591,246,1,t_1055516_b_25567_tn_0,14002376,t_1055604_b_25567_tn_0,14001490
24700000,WKO00_Su_20200325_20200625,11592,247,1,t_1055510_b_25567_tn_0,14002291,t_1055594_b_25567_tn_0,14001490
24800000,WKO00_Su_20200325_20200625,11593,248,1,t_1055588_b_25567_tn_0,14001490,t_1055591_b_25567_tn_0,14002291
24900000,WKO00_Su_20200325_20200625,11594,249,1,t_1055607_b_25567_tn_0,14001490,t_1055539_b_25567_tn_0,14002376
