stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
rt22S2,N Buchanan St & NE 4th Ave,This stop is on N Buchanan St and North of NE 4th Ave,35.216919,-101.829945,,,
rt22S3,N Buchanan St & NE 6th Ave (Horace Mann Middle School),This stop is on N Buchanan St and North of NE 6th Ave in front of Horace Mann Middle School,35.2187015,-101.8295696,,,
rt22S4,N Buchanan St & Wichita Ave,This stop is on N Buchanan St and North of Wichita Ave on the Southwest corner of Will Rogers Park,35.22067457,-101.8291759,,,
AmaBlvdNLincolnSt,Amarillo Blvd & N Lincoln St (Across from Donut Stop),This stop is on Amarillo Blvd and West of N Lincoln St on the Northeast corner Will Rogers Park,35.22189156,-101.8279039,,,
AmaBlvdNGrantSt,Amarillo Blvd & N Grant St,This stop is on Amarillo Blvd and West of N Grant St on the Northwest corner,35.221926,-101.825325,,,
rt22S7,Amarillo Blvd & N Garfield St,This stop is on Amarillo Blvd and West of N Garfield St in front of the Happy Burrito,35.22191816,-101.8228772,,,
AmaBlvdNClevelandSt,Amarillo Blvd & N Cleveland St,This stop is on Amarillo Blvd and West of N Cleveland St,35.2218877,-101.8201885,,,
AmaBlvdNPhiladelphiaSt,Amarillo Blvd & N Philadelphia St,This stop is on Amarillo Blvd and West of N Philadelphia St,35.22182632,-101.8105855,,,
AmaBlvdRidgemereBlvd,Amarillo Blvd & Ridgemere Blvd,This stop is on Amarillo Blvd & West of Ridgemere Blvd,35.22183529,-101.8029719,,,
rt22S12,N Grand St & NE 9th Ave,This stop is on N Grand St & North of NE 9th Ave,35.223029,-101.795320,,,
rt22S13,N Grand St & NE 13th Ave,This stop is on N Grand St & North of NE 13th Ave,35.22660778,-101.7953162,,,
rt22S14,N Grand St & NE 16th Ave,This stop is on N Grand St & South of NE 16th Ave,35.2290925,-101.7953078,,,
rt22S15,N Grand St & NE 20th Ave,This stop is on N Grand St & North of NE 20th Ave,35.23298956,-101.795319,,,
rt22S16,NE 24th Ave & N Grand St (Pride Home Center),This stop is on NE 24th Ave & West of N Grand St in front of Pride Home Center,35.23657918,-101.7969043,,,
rt22S17,NE 24th Ave & N Seminole St,This stop is on NE 24th Ave & East of N Seminole St,35.23654092,-101.799998,,,
rt22S18,Martin Rd & N Manhattan St (Travis Intermediate School),This stop is on Martin Rd & West of N Manhattan St on the Southeast corner of Travis Intermediate School campus,35.23464919,-101.8045749,,,
rt22S19,Martin Rd & NE 19th Ave,This stop is on Martin Rd & South of NE 19th Ave,35.232231,-101.807996,,,
rt22S20,Martin Rd & NE 16th Ave,This stop is on Martin Rd & South of NE 16th Ave,35.22913898,-101.8108116,,,
rt22S21,Martin Rd & Amarillo Blvd (Post Office),This stop is on Martin Rd & North of Amarillo Blvd in front of the Post Office,35.22355144,-101.8121948,,,
NWUrgentCare,Amarillo Blvd & N Mirror St (NW Urgent Care),This stop is on Amarillo Blvd & East of N Mirror St in front of the NW Urgent Care,35.22204736,-101.8170514,,,
SonicDrivein,Amarillo Blvd & N Arthur St (Sonic Drive-in),This stop is on Amarillo Blvd & West of N Arthur St in front of the Sonic Drive-in,35.22214626,-101.8214253,,,
Braums,Amarillo Blvd & N Grant St,This stop is on Amarillo Blvd & East of N Grant St in front of Braums,35.22214486,-101.8250217,,,
rt22S25,Amarillo Blvd & N Lincoln St (Donut Stop),This stop is on Amarillo Blvd & West of N Lincoln St in front of the Donut Stop,35.22214869,-101.827883,,,
rt22S26,NE 11th Ave & N Buchanan St (Cornerstone Outreach Center),This stop is on NE 11th Ave & West of N Buchanan St on the Southeast corner of Cornerstone Outreach Center parking lot,35.22522188,-101.8291523,,,
rt22S27,N Pierce St & Amarillo Blvd (CVS),This stop is on N Pierce St & North of Amarillo Blvd in front of the CVS,35.22243583,-101.8303746,,,
NFillmoreStNE4thAve,N Fillmore St & NE 4th Ave,This stop is on N Fillmore St & South of NE 4th Ave,35.21628712,-101.8326235,,,
NFillmoreStNE5thAve,N Fillmore St & NE 5th Ave,This stop is on N Fillmore St & North of NE 5th Ave,35.2180866,-101.8322675,,,
NFillmoreStNE7thAve,N Fillmore St & NE 7th Ave,This stop is on N Fillmore St & North of NE 7th Ave,35.21987464,-101.8319055,,,
