service_id,date,exception_type
24402_merged_1252251,20200627,1
24402_merged_1252251,20200620,1
24402_merged_1252251,20200516,1
24402_merged_1252251,20200502,1
24402_merged_1252251,20200523,1
24402_merged_1252251,20200509,1
115701_merged_1252115,20200303,1
115701_merged_1252115,20200302,1
115701_merged_1252115,20200312,1
115701_merged_1252115,20200313,1
115701_merged_1252115,20200306,1
115701_merged_1252115,20200305,1
115701_merged_1252115,20200304,1
115701_merged_1252115,20200309,1
115701_merged_1252115,20200311,1
115701_merged_1252115,20200310,1
115701_merged_1252115,20200323,1
115701_merged_1252115,20200325,1
115701_merged_1252115,20200324,1
115701_merged_1252115,20200327,1
115701_merged_1252115,20200326,1
24201_merged_1252136,20200310,1
24201_merged_1252136,20200311,1
24201_merged_1252136,20200320,1
24201_merged_1252136,20200323,1
24201_merged_1252136,20200325,1
24201_merged_1252136,20200324,1
24201_merged_1252136,20200327,1
24201_merged_1252136,20200326,1
24201_merged_1252136,20200303,1
24201_merged_1252136,20200302,1
24201_merged_1252136,20200312,1
24201_merged_1252136,20200313,1
24201_merged_1252136,20200306,1
24201_merged_1252136,20200305,1
24201_merged_1252136,20200304,1
24201_merged_1252136,20200318,1
24201_merged_1252136,20200319,1
24201_merged_1252136,20200309,1
24201_merged_1252136,20200317,1
24201_merged_1252136,20200316,1
156501,20200303,1
156501,20200302,1
156501,20200312,1
156501,20200313,1
156501,20200306,1
156501,20200305,1
156501,20200304,1
156501,20200318,1
156501,20200319,1
156501,20200309,1
156501,20200317,1
156501,20200316,1
156501,20200310,1
156501,20200320,1
3402_merged_1252114,20200307,1
35002_merged_1252183,20200314,1
53501,20200303,1
53501,20200302,1
53501,20200312,1
53501,20200313,1
53501,20200306,1
53501,20200305,1
53501,20200304,1
53501,20200318,1
53501,20200319,1
53501,20200309,1
53501,20200317,1
53501,20200316,1
53501,20200310,1
53501,20200320,1
24401_merged_1252252,20200423,1
24401_merged_1252252,20200605,1
24401_merged_1252252,20200424,1
24401_merged_1252252,20200602,1
24401_merged_1252252,20200625,1
24401_merged_1252252,20200505,1
24401_merged_1252252,20200504,1
24401_merged_1252252,20200507,1
24401_merged_1252252,20200506,1
24401_merged_1252252,20200501,1
24401_merged_1252252,20200427,1
24401_merged_1252252,20200529,1
24401_merged_1252252,20200528,1
24401_merged_1252252,20200527,1
24401_merged_1252252,20200526,1
24401_merged_1252252,20200428,1
24401_merged_1252252,20200429,1
24401_merged_1252252,20200508,1
24401_merged_1252252,20200521,1
24401_merged_1252252,20200520,1
24401_merged_1252252,20200611,1
24401_merged_1252252,20200610,1
24401_merged_1252252,20200626,1
24401_merged_1252252,20200414,1
24401_merged_1252252,20200615,1
24401_merged_1252252,20200617,1
24401_merged_1252252,20200616,1
24401_merged_1252252,20200619,1
24401_merged_1252252,20200618,1
24401_merged_1252252,20200522,1
24401_merged_1252252,20200612,1
24401_merged_1252252,20200415,1
24401_merged_1252252,20200512,1
24401_merged_1252252,20200513,1
24401_merged_1252252,20200511,1
24401_merged_1252252,20200430,1
24401_merged_1252252,20200514,1
24401_merged_1252252,20200515,1
24401_merged_1252252,20200417,1
24401_merged_1252252,20200416,1
24401_merged_1252252,20200518,1
24401_merged_1252252,20200519,1
24401_merged_1252252,20200413,1
24401_merged_1252252,20200422,1
24401_merged_1252252,20200608,1
24401_merged_1252252,20200609,1
24401_merged_1252252,20200622,1
24401_merged_1252252,20200623,1
24401_merged_1252252,20200624,1
24401_merged_1252252,20200603,1
24401_merged_1252252,20200420,1
24401_merged_1252252,20200601,1
24401_merged_1252252,20200421,1
24401_merged_1252252,20200604,1
179101,20200303,1
179101,20200302,1
179101,20200312,1
179101,20200313,1
179101,20200306,1
179101,20200305,1
179101,20200304,1
179101,20200318,1
179101,20200319,1
179101,20200309,1
179101,20200317,1
179101,20200316,1
179101,20200310,1
179101,20200320,1
1901_merged_1252152,20200318,1
1901_merged_1252152,20200319,1
1901_merged_1252152,20200317,1
1901_merged_1252152,20200316,1
1901_merged_1252152,20200320,1
3101_merged_1252168,20200303,1
3101_merged_1252168,20200302,1
3101_merged_1252168,20200312,1
3101_merged_1252168,20200313,1
3101_merged_1252168,20200306,1
3101_merged_1252168,20200305,1
3101_merged_1252168,20200304,1
3101_merged_1252168,20200309,1
3101_merged_1252168,20200311,1
3101_merged_1252168,20200310,1
3101_merged_1252168,20200323,1
3101_merged_1252168,20200325,1
3101_merged_1252168,20200324,1
3101_merged_1252168,20200327,1
3101_merged_1252168,20200326,1
4501,20200303,1
4501,20200302,1
4501,20200312,1
4501,20200313,1
4501,20200306,1
4501,20200305,1
4501,20200304,1
4501,20200309,1
4501,20200311,1
4501,20200310,1
126401_merged_1252121,20200302,1
126401_merged_1252121,20200309,1
3401_merged_1252113,20200313,1
3401_merged_1252113,20200306,1
3701_merged_1252177,20200303,1
3701_merged_1252177,20200302,1
3701_merged_1252177,20200312,1
3701_merged_1252177,20200313,1
3701_merged_1252177,20200306,1
3701_merged_1252177,20200305,1
3701_merged_1252177,20200304,1
3701_merged_1252177,20200318,1
3701_merged_1252177,20200319,1
3701_merged_1252177,20200309,1
3701_merged_1252177,20200317,1
3701_merged_1252177,20200316,1
3701_merged_1252177,20200310,1
3701_merged_1252177,20200320,1
203_merged_1252248,20200510,1
203_merged_1252248,20200426,1
203_merged_1252248,20200419,1
203_merged_1252248,20200503,1
